epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.7928,2.32228,4.37981,1.97212,0.00177,0.33117,0.00163,0.00059,2.09777,4.61588,1.9449,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05
2,149.642,2.47763,4.23098,2.07592,0.00231,0.38636,0.00207,0.00061,1.99749,4.61832,1.90413,0.000332742,0.000110914,0.000332742,0.000110914,0.000332742,0.000110914,0.000332742,0.000110914
3,182.239,2.47214,4.15128,2.03351,0.00196,0.34091,0.00195,0.0006,2.02207,4.62425,1.89437,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216
4,235.263,2.51832,4.76758,2.32005,0.00179,0.30519,0.00261,0.00116,2.11601,4.632,1.87409,0.000638753,0.000212918,0.000638753,0.000212918,0.000638753,0.000212918,0.000638753,0.000212918
5,267.534,2.62482,4.21731,2.22035,0.00203,0.34091,0.00357,0.00115,2.16104,4.60386,1.90479,0.000762052,0.000254017,0.000762052,0.000254017,0.000762052,0.000254017,0.000762052,0.000254017
6,300.742,2.03906,4.11354,1.83913,0.00277,0.44805,0.00487,0.0014,2.14744,4.68443,1.90058,0.000865548,0.000288516,0.000865548,0.000288516,0.000865548,0.000288516,0.000865548,0.000288516
7,314.058,2.59622,4.44988,2.20238,0.00277,0.44805,0.00487,0.0014,2.14744,4.68443,1.90058,0.00094924,0.000316413,0.00094924,0.000316413,0.00094924,0.000316413,0.00094924,0.000316413
8,347.675,2.16628,4.45439,2.04201,0.00262,0.41234,0.00559,0.00183,2.13095,4.77361,1.92471,0.00101313,0.000337709,0.00101313,0.000337709,0.00101313,0.000337709,0.00101313,0.000337709
9,381.025,2.46465,4.3637,1.91089,0.00244,0.37662,0.00458,0.00203,2.04947,4.73414,1.84773,0.00105721,0.000352404,0.00105721,0.000352404,0.00105721,0.000352404,0.00105721,0.000352404
10,393.433,2.50391,4.33699,2.07034,0.00244,0.37662,0.00458,0.00203,2.04947,4.73414,1.84773,0.00108149,0.000360497,0.00108149,0.000360497,0.00108149,0.000360497,0.00108149,0.000360497
11,426.765,2.37273,5.51262,2.13114,0.00248,0.37662,0.00662,0.00251,2.01961,4.77269,1.82069,0.00108597,0.000361989,0.00108597,0.000361989,0.00108597,0.000361989,0.00108597,0.000361989
12,439.177,2.70796,5.50646,2.10993,0.00248,0.37662,0.00662,0.00251,2.01961,4.77269,1.82069,0.00107064,0.00035688,0.00107064,0.00035688,0.00107064,0.00035688,0.00107064,0.00035688
13,471.927,2.37641,5.04855,1.98909,0.00246,0.37662,0.00921,0.00344,2.09135,4.74704,1.81091,0.00103551,0.000345169,0.00103551,0.000345169,0.00103551,0.000345169,0.00103551,0.000345169
14,484.629,2.46765,4.85935,1.96691,0.00246,0.37662,0.00921,0.00344,2.09135,4.74704,1.81091,0.000980571,0.000326857,0.000980571,0.000326857,0.000980571,0.000326857,0.000980571,0.000326857
15,517.524,1.99021,5.16956,1.78911,0.00221,0.34091,0.01382,0.00484,2.21079,4.60176,1.87815,0.000905831,0.000301944,0.000905831,0.000301944,0.000905831,0.000301944,0.000905831,0.000301944
16,530.301,2.69586,5.19638,2.28898,0.00221,0.34091,0.01382,0.00484,2.21079,4.60176,1.87815,0.000811287,0.000270429,0.000811287,0.000270429,0.000811287,0.000270429,0.000811287,0.000270429
17,543.25,2.24616,5.26018,1.85937,0.00221,0.34091,0.01382,0.00484,2.21079,4.60176,1.87815,0.000696939,0.000232313,0.000696939,0.000232313,0.000696939,0.000232313,0.000696939,0.000232313
18,576.192,2.62022,5.03434,2.19272,0.00245,0.37662,0.01522,0.00421,2.17569,4.62957,1.8536,0.000562788,0.000187596,0.000562788,0.000187596,0.000562788,0.000187596,0.000562788,0.000187596
19,588.579,2.15184,5.30495,1.84951,0.00245,0.37662,0.01522,0.00421,2.17569,4.62957,1.8536,0.000408832,0.000136277,0.000408832,0.000136277,0.000408832,0.000136277,0.000408832,0.000136277
20,602.457,2.56913,5.01287,2.25243,0.00245,0.37662,0.01522,0.00421,2.17569,4.62957,1.8536,0.000235072,7.83573e-05,0.000235072,7.83573e-05,0.000235072,7.83573e-05,0.000235072,7.83573e-05
